ITERATION,F1_SCORE_TRAIN,F1_SCORE_TEST,num_leaves,learning_rate,max_depth,min_child_samples,colsample_bytree,subsample,n_estimators,reg_alpha,reg_lambda,subsample_for_bin
1,0.9411640685037304,0.905986269611773,40,0.0758440916956513,5,23,0.7434244698765275,0.5030773484898167,20,0.6517423997488939,0.8839266254726155,43
2,0.8518550330553252,0.8401874214041545,30,0.03723013317043408,2,27,0.23560870048034105,0.49536195541123873,17,0.059936189081400526,0.8609304819134347,22
3,1.0,0.9259598397277251,31,0.188187964221538,6,27,0.35354592690336684,0.14787966654284068,84,0.15717970056189712,0.6176608512730031,16
4,0.9173188690637373,0.8985989116890017,8,0.023804396879668465,7,10,0.2184838044731763,0.23794112604566792,55,0.7044600162750467,0.5924534133258075,26
5,1.0,0.9259676580473789,20,0.20020590735672394,8,18,0.20660948758203748,0.16281901969005597,46,0.34611859763450203,0.28735631985323384,30
6,1.0,0.9226517886433852,46,0.4899659170684092,9,17,0.1470827409558193,0.2046656706013647,61,0.7231479244442287,0.44194339835245333,40
7,0.9558320153345521,0.9266433932419545,28,0.0583062496563937,3,9,0.5023646648569076,0.7480416864350686,95,0.869355916285306,0.08174694195215582,38
8,1.0,0.9192673571406234,11,0.6467196502858107,5,23,0.5687133167357361,0.6395582610421123,76,0.33697973924510827,0.7480357729604008,13
9,0.9719995469697267,0.9146296241193029,50,0.04488897800092954,9,14,0.5947696575666891,0.6013975314372942,41,0.5734609694174653,0.05407787444418399,39
10,0.9526642597994741,0.9293067000054054,34,0.08393145294771806,3,11,0.5013008673316783,0.4123621596623068,73,0.7041340569061305,0.4349979536508063,23
11,0.9614976545089116,0.9233085127257032,48,0.08582583786952146,5,26,0.4936721663013709,0.12681923229109326,60,0.9547804466890908,0.26832475371053754,11
12,0.9604992947632048,0.9212944482513347,17,0.018605072422529526,9,20,0.40603924195007557,0.49529905019153864,99,0.30780459889893874,0.10483061704646857,41
13,0.9908332153912858,0.9199720728909437,41,0.14392337103380182,4,18,0.4650631304674806,0.5745257402353351,65,0.21686967585707428,0.6091041490883193,21
14,0.9406635460353933,0.905986448553772,39,0.030988025285663395,7,19,0.46719567085809777,0.403646567793014,26,0.8820998106981124,0.08885184806583746,13
15,0.939831625473017,0.9119656131437953,10,0.061599449437158525,5,20,0.6298000292740732,0.6887255631622251,32,0.9739479466464522,0.017096689947744492,19
16,0.9478329540449082,0.9099565849242073,44,0.014862255171878584,9,20,0.5227937815103988,0.7420291877740229,20,0.33486009438808095,0.2042842520101622,45
17,0.9384949611160837,0.9159903983523003,19,0.019596069750187742,5,5,0.1923828430713812,0.6291542538407847,43,0.451625695847095,0.816994764213365,45
18,0.8911254625182945,0.8703074056859375,12,0.030115970651213953,3,11,0.6839768403651241,0.167003342988765,24,0.976525304162185,0.3506832932733329,23
19,1.0,0.9193074239135157,21,0.9276377718214431,9,22,0.49826348859705016,0.6524057021534155,69,0.4171626881853736,0.12807689592637184,20
20,0.9203286565743639,0.8992993000719073,17,0.018050971740520876,4,25,0.40269152894307125,0.563478938984378,59,0.2298357960090034,0.9759998977389169,28
21,0.8635283255592643,0.858459782383866,34,0.009382632060726212,2,6,0.3397633258745827,0.32148944954555636,100,0.8407218499163338,0.36720079101343484,34
22,1.0,0.9206304122036176,25,0.3643104819282234,3,9,0.6497169081145978,0.3675864464187475,88,0.8103022737698055,0.5016778909923744,35
23,0.9806660782018568,0.9219796126608484,25,0.11288021164741319,3,14,0.7428041003008645,0.31262503252597057,91,0.557459197570582,0.21216930365862166,50
24,1.0,0.9253063220420887,35,0.2767952095521676,4,7,0.3016326546910873,0.4173621183080863,76,0.7641176419463289,0.4954281879527588,32
25,0.922147986618827,0.8986079837590569,36,0.054142902223163446,2,13,0.5569675131116762,0.7491546233951042,80,0.6029293853288685,0.7157884868747463,36
